investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,True,241.0,29.0,22.0,2946.55,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,3417510.0,129.0,120.0,34712891.76,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,16603.0,7.0,7.0,134147.41,True,LONGA METRAGEM,True,False,False,False,False
False,False,False,487646.0,71.0,51.0,5058248.8,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,221.0,3.0,3.0,4406.740000000001,False,LONGA METRAGEM,False,True,False,False,False
False,False,False,970.0,4.0,4.0,8524.81,False,LONGA METRAGEM,False,False,True,False,False
True,False,True,592.0,16.0,16.0,7189.06,False,LONGA METRAGEM,False,False,True,False,False
False,False,True,4846317.0,10.0,10.0,50312354.36,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,3269.0,8.0,8.0,24453.5,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,370842.0,1.0,1.0,3880872.74,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,58775.0,77.0,77.0,702215.83,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,200.0,13.0,13.0,901.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,21206.0,2.0,2.0,214485.09,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,29873.0,48.0,48.0,260982.58,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,275497.0,1.0,1.0,3402184.5,True,LONGA METRAGEM,False,False,True,False,False
False,True,True,5195.0,6.0,6.0,34922.9,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,91798.0,2.0,2.0,1009429.37,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2440.0,170.0,36.0,27877.41,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,9690.0,3.0,3.0,102831.13,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,747.0,1.0,1.0,6899.22,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,996.0,7.0,6.0,11425.02,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,1626.0,9.0,9.0,21007.579999999998,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,5509.0,139.0,139.0,52880.8,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,1640.0,3.0,3.0,11253.9,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,200.0,20.0,20.0,1260.0,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,22661.0,471.0,42.0,281806.53,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,367.0,12.0,12.0,1692.0,False,LONGA METRAGEM,False,True,False,False,False
False,False,False,221.0,1.0,1.0,1867.16,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,316.0,6.0,6.0,3613.6,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,29.0,2.0,2.0,578.26,False,MÉDIA METRAGEM,False,False,True,False,False
False,False,True,25085.0,1.0,1.0,262474.4,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,95845.0,76.0,55.0,982725.3,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,278.0,12.0,12.0,5543.320000000001,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,7412.0,6.0,6.0,71933.36,True,LONGA METRAGEM,True,False,False,False,False
True,False,True,966.0,55.0,45.0,5224.5,True,LONGA METRAGEM,True,False,False,False,False
False,False,False,69641.0,1991.0,520.0,1388641.54,False,LONGA METRAGEM,False,False,False,False,True
False,True,True,22745.0,126.0,121.0,246246.07,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,0.0,1.0,1.0,0.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,70995.0,1.0,1.0,793467.49,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,30679.0,2.0,2.0,297396.48,True,LONGA METRAGEM,True,False,False,False,False
False,True,False,37243.0,6.0,6.0,362595.26,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,356.0,1.0,1.0,2479.33,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,378087.0,3.0,3.0,3898549.67,True,LONGA METRAGEM,False,False,True,False,False
True,True,True,767.0,74.0,35.0,6889.91,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2640.0,1.0,1.0,17781.5,True,LONGA METRAGEM,False,True,False,False,False
