DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
22/01/2016;22/01/2016 13:20:00;PEANUTS THE MOVIE;SNOOPY & CHARLIE BROWN - PEANUTS, O FILME;E1500834100000;DUBLADO;NÃO;ESTADOS UNIDOS;5002062;AGUA VERDE 1;17;6000023;12893;12894;CURITIBA;PR;ESTILO PRODUÇÕES ARTISTICAS LTDA;03.293.165/0001-97
22/01/2016;22/01/2016 13:30:00;THE GOOD DINOSAUR;O BOM DINOSSAURO;E1500739200000;DUBLADO;NÃO;ESTADOS UNIDOS;5002063;AGUA VERDE 2;0;6000023;12893;12894;CURITIBA;PR;ESTILO PRODUÇÕES ARTISTICAS LTDA;03.293.165/0001-97
22/01/2016;22/01/2016 13:40:00;PEANUTS THE MOVIE;SNOOPY & CHARLIE BROWN - PEANUTS, O FILME;E1500834100000;DUBLADO;NÃO;ESTADOS UNIDOS;5004483;ARAPIRACA BRA 01;2;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
22/01/2016;22/01/2016 13:50:00;ALVIN AND THE CHIPMUNKS: THE ROAD CHIP;ALVIN E OS ESQUILOS: NA ESTRADA;E1500813800000;DUBLADO;NÃO;ESTADOS UNIDOS;5004487;ARAPIRACA BRA 05;18;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
22/01/2016;22/01/2016 14:00:00;ATÉ QUE A SORTE NOS SEPARE 3;;B1500904200000;DUBLADO;NÃO;BRASIL;5004484;ARAPIRACA BRA 02;13;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
22/01/2016;22/01/2016 14:10:00;THE GOOD DINOSAUR;O BOM DINOSSAURO;E1500739200000;DUBLADO;NÃO;ESTADOS UNIDOS;5004486;ARAPIRACA BRA 04;1;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
22/01/2016;22/01/2016 14:35:00;THE 5TH WAVE;A QUINTA ONDA;E1500729000000;DUBLADO;NÃO;ESTADOS UNIDOS;5004488;ARAPIRACA BRA 06;31;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
22/01/2016;22/01/2016 14:50:00;REZA A LENDA;;B1500899800000;DUBLADO;NÃO;BRASIL;5004485;ARAPIRACA BRA 03;12;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
22/01/2016;22/01/2016 15:00:00;THE GOOD DINOSAUR;O BOM DINOSSAURO;E1500739200000;DUBLADO;NÃO;ESTADOS UNIDOS;5002062;AGUA VERDE 1;84;6000023;12893;12894;CURITIBA;PR;ESTILO PRODUÇÕES ARTISTICAS LTDA;03.293.165/0001-97
22/01/2016;22/01/2016 15:00:00;THE HATEFUL EIGHT;OS OITO ODIADOS;E1500857700000;ORIGINAL;NÃO;ESTADOS UNIDOS;5004430;SALA DRAGÃO DO MAR 02;22;;25385;25387;FORTALEZA;CE;INSTITUTO DRAGAO DO MAR;02.455.125/0001-31
22/01/2016;22/01/2016 15:15:00;BOI NEON;;B1500798600000;ORIGINAL;NÃO;BRASIL;5004429;SALA DRAGÃO DO MAR 01;13;;25385;25387;FORTALEZA;CE;INSTITUTO DRAGAO DO MAR;02.455.125/0001-31
22/01/2016;22/01/2016 15:40:00;PEANUTS THE MOVIE;SNOOPY & CHARLIE BROWN - PEANUTS, O FILME;E1500834100000;DUBLADO;NÃO;ESTADOS UNIDOS;5002063;AGUA VERDE 2;0;6000023;12893;12894;CURITIBA;PR;ESTILO PRODUÇÕES ARTISTICAS LTDA;03.293.165/0001-97
22/01/2016;22/01/2016 15:40:00;PEANUTS THE MOVIE;SNOOPY & CHARLIE BROWN - PEANUTS, O FILME;E1500834100000;DUBLADO;NÃO;ESTADOS UNIDOS;5004483;ARAPIRACA BRA 01;14;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
