DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
29/08/2021;29/08/2021 02:45:00;THE BOSS BABY: FAMILY BUSINESS;O PODEROSO CHEFINHO 2: NEGÓCIOS DA FAMÍLIA;E2000546600000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;9;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
29/08/2021;29/08/2021 04:50:00;THE BOSS BABY: FAMILY BUSINESS;O PODEROSO CHEFINHO 2: NEGÓCIOS DA FAMÍLIA;E2000546600000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;2;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
29/08/2021;29/08/2021 09:05:00;THE SUICIDE SQUAD;O ESQUADRÃO SUICIDA;E2100229700000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;3;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
29/08/2021;29/08/2021 10:00:00;THE BOSS BABY: FAMILY BUSINESS;O PODEROSO CHEFINHO 2: NEGÓCIOS DA FAMÍLIA;E2000546600000;DUBLADO;NÃO;ESTADOS UNIDOS;5002337;CENTER CINE;2;;14489;14490;OLIVEIRA;MG;CENTER CINE E EVENTOS LTDA;10.311.428/0001-09
29/08/2021;29/08/2021 10:30:00;NOMADLAND;NOMADLAND;E2100044800000;ORIGINAL;SIM;ESTADOS UNIDOS;5006135;CINE LUZ;22;;41518;41519;CURITIBA;PR;CURITIBA ARTE - INSTITUTO CURITIBA DE ARTE E CULTURA;05.503.775/0001-01
29/08/2021;29/08/2021 11:00:00;FREE GUY;FREE GUY: ASSUMINDO O CONTROLE;E2000343600000;DUBLADO;NÃO;ESTADOS UNIDOS;5001930;SALA KINOPLEX LEBLON SALA 01;30;6000037;11751;11752;RIO DE JANEIRO;RJ;SR RIO DE JANEIRO CINEMAS S/A;08.262.566/0001-01
29/08/2021;29/08/2021 11:00:00;NOMADLAND;NOMADLAND;E2100044800000;ORIGINAL;SIM;ESTADOS UNIDOS;5006136;CINE RITZ;22;;41518;41519;CURITIBA;PR;CURITIBA ARTE - INSTITUTO CURITIBA DE ARTE E CULTURA;05.503.775/0001-01
29/08/2021;29/08/2021 11:00:00;THE BOSS BABY: FAMILY BUSINESS;O PODEROSO CHEFINHO 2: NEGÓCIOS DA FAMÍLIA;E2000546600000;DUBLADO;NÃO;ESTADOS UNIDOS;5000926;MOVIECOM PENHA 1;52;6000100;2914;2919;SÃO PAULO;SP;CINEMATOGRÁFICA PASSOS LTDA;01.688.909/0001-47
29/08/2021;29/08/2021 12:00:00;REMINISCENCE;CAMINHOS DA MEMÓRIA;E2100277000000;DUBLADO;SIM;ESTADOS UNIDOS;5006441;CINE PLAY PANORÂMICO 6;0;6000021;44321;44322;SOROCABA;SP;CIA DE CINEMA BRASIL;33.214.625/0001-05
29/08/2021;29/08/2021 12:30:00;Shows e Musicais;;G0000000000002;ORIGINAL;NÃO;;5006151;IGUATEMI FLN 05;0;6000027;22546;41695;FLORIANÓPOLIS;SC;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
