DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
01/07/2023;01/07/2023 00:30:00;NATURAL BORN KILLERS;ASSASSINOS POR NATUREZA;E1402796300000;ORIGINAL;SIM;ESTADOS UNIDOS;5005492;LINA BARRETO;0;6000055;32360;32396;SÃO PAULO;SP;EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO S.A.;21.278.214/0001-02
01/07/2023;01/07/2023 00:30:00;NATURAL BORN KILLERS;ASSASSINOS POR NATUREZA;E1402796300000;ORIGINAL;SIM;ESTADOS UNIDOS;5005493;PAULO EMILIO;0;6000055;32360;32396;SÃO PAULO;SP;EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO S.A.;21.278.214/0001-02
01/07/2023;01/07/2023 03:00:00;Mostras e Festivais;;G0000000000004;ORIGINAL;SIM;;5005492;LINA BARRETO;0;6000055;32360;32396;SÃO PAULO;SP;EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO S.A.;21.278.214/0001-02
01/07/2023;01/07/2023 03:00:00;Mostras e Festivais;;G0000000000004;ORIGINAL;SIM;;5005493;PAULO EMILIO;0;6000055;32360;32396;SÃO PAULO;SP;EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO S.A.;21.278.214/0001-02
01/07/2023;01/07/2023 09:00:00;MINIONS: THE RISE OF GRU;MINIONS 2: A ORIGEM DE GRU;E2200126100000;DUBLADO;NÃO;ESTADOS UNIDOS;5006178;CINESYSTEM IMPERIAL SHOPPING - SALA 1;30;6000027;22546;41701;IMPERATRIZ;MA;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
01/07/2023;01/07/2023 09:30:00;ELEMENTAL;ELEMENTOS;E2300193100000;DUBLADO;NÃO;ESTADOS UNIDOS;5006381;ALFENAS SALA 3;0;6000008;15833;44017;ALFENAS;MG;CINE A LTDA;10.894.937/0001-01
01/07/2023;01/07/2023 10:00:00;ELEMENTAL;ELEMENTOS;E2300193100000;DUBLADO;NÃO;ESTADOS UNIDOS;5005743;CINESYSTEM MORUMBI TOWN SALA 04;40;6000027;22546;34941;SÃO PAULO;SP;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
01/07/2023;01/07/2023 10:00:00;LOVE AGAIN;O AMOR MANDOU MENSAGEM;E2300042700000;DUBLADO;NÃO;ESTADOS UNIDOS;5003571;SALA CIDADE JARDIM NORTE 02;0;6000006;2836;22580;SÃO JOSÉ DO RIO PRETO;SP;EMPRESA SAO LUIZ DE CINEMAS LTDA - EM RECUPERACAO JUDICIAL;52.067.071/0001-05
01/07/2023;01/07/2023 10:00:00;MINIONS: THE RISE OF GRU;MINIONS 2: A ORIGEM DE GRU;E2200126100000;DUBLADO;NÃO;ESTADOS UNIDOS;5006151;IGUATEMI FLN 05;50;6000027;22546;41695;FLORIANÓPOLIS;SC;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
01/07/2023;01/07/2023 10:00:00;PUSS IN BOOTS: THE LAST WISH;GATO DE BOTAS 2: O ÚLTIMO PEDIDO;E2200403600000;DUBLADO;NÃO;ESTADOS UNIDOS;5005797;CINE BRASÍLIA;5;;36650;36651;BRASÍLIA;DF;SECRETARIA DE ESTADO DE CULTURA DO DISTRITO FEDERAL;03.658.028/0001-09
01/07/2023;01/07/2023 10:00:00;THE FLASH;THE FLASH;E2300154900000;DUBLADO;NÃO;ESTADOS UNIDOS;5006179;CINESYSTEM IMPERIAL SHOPPING - SALA 2;0;6000027;22546;41701;IMPERATRIZ;MA;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
01/07/2023;01/07/2023 10:15:00;THE FLASH;THE FLASH;E2300154900000;DUBLADO;NÃO;ESTADOS UNIDOS;5006964;SALA CINE 14 BIS;4;;53214;53215;GUAXUPÉ;MG;CINE GXPSP PROMOCOES E EVENTOS LTDA;49.955.145/0001-35
01/07/2023;01/07/2023 10:30:00;OS AVENTUREIROS - A ORIGEM;;B2300230600000;ORIGINAL;NÃO;BRASIL;5002197;KINOPLEX VIA PARQUE 1;173;6000037;1991;13454;RIO DE JANEIRO;RJ;EMPRESA CINEMAS SÃO LUIZ S/A;33.497.660/0001-89
01/07/2023;01/07/2023 10:30:00;OS AVENTUREIROS - A ORIGEM;;B2300230600000;ORIGINAL;NÃO;BRASIL;5002198;KINOPLEX VIA PARQUE 2;253;6000037;1991;13454;RIO DE JANEIRO;RJ;EMPRESA CINEMAS SÃO LUIZ S/A;33.497.660/0001-89
01/07/2023;01/07/2023 10:30:00;OS AVENTUREIROS - A ORIGEM;;B2300230600000;ORIGINAL;NÃO;BRASIL;5002199;KINOPLEX VIA PARQUE 3;344;6000037;1991;13454;RIO DE JANEIRO;RJ;EMPRESA CINEMAS SÃO LUIZ S/A;33.497.660/0001-89
