DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
08/03/2018;08/03/2018 04:00:00;BLACK PANTHER;PANTERA NEGRA;E1700512400000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;4;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
08/03/2018;08/03/2018 06:40:00;COCO;VIVA - A VIDA É UMA FESTA;E1700453400000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;7;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
08/03/2018;08/03/2018 08:40:00;BLACK PANTHER;PANTERA NEGRA;E1700512400000;DUBLADO;NÃO;ESTADOS UNIDOS;5005686;GRUPO CINE VALINHOS SALA 02;0;6000034;5642;34260;VALINHOS;SP;EMPRESA CINEMATOGRÁFICA ITAPETININGA LTDA;05.762.295/0001-57
08/03/2018;08/03/2018 08:50:00;BLACK PANTHER;PANTERA NEGRA;E1700512400000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;9;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
08/03/2018;08/03/2018 09:00:00;BLACK PANTHER;PANTERA NEGRA;E1700512400000;DUBLADO;NÃO;ESTADOS UNIDOS;5005947;GRUPO CINE SANTA ISABEL;0;6000034;5642;38348;SANTA ISABEL;SP;EMPRESA CINEMATOGRÁFICA ITAPETININGA LTDA;05.762.295/0001-57
08/03/2018;08/03/2018 09:00:00;BLACK PANTHER;PANTERA NEGRA;E1700512400000;DUBLADO;NÃO;ESTADOS UNIDOS;5001487;MOVIECOM MAXI 5;110;6000100;2912;2913;JUNDIAÍ;SP;MAXI CINEMATOGRÁFICA LTDA;05.279.756/0001-35
08/03/2018;08/03/2018 09:00:00;FIFTY SHADES FREED;CINQUENTA TONS DE LIBERDADE;E1700536700000;DUBLADO;NÃO;ESTADOS UNIDOS;5001482;MOVIECOM MAXI 3;112;6000100;2912;2913;JUNDIAÍ;SP;MAXI CINEMATOGRÁFICA LTDA;05.279.756/0001-35
08/03/2018;08/03/2018 09:00:00;WONDER;EXTRAORDINÁRIO;E1700451500000;DUBLADO;NÃO;ESTADOS UNIDOS;5001493;MOVIECOM MAXI 7;220;6000100;2912;2913;JUNDIAÍ;SP;MAXI CINEMATOGRÁFICA LTDA;05.279.756/0001-35
08/03/2018;08/03/2018 09:15:00;FIFTY SHADES FREED;CINQUENTA TONS DE LIBERDADE;E1700536700000;DUBLADO;NÃO;ESTADOS UNIDOS;5005785;MOVIEPLEX - SALA 02;15;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
08/03/2018;08/03/2018 09:20:00;BLACK PANTHER;PANTERA NEGRA;E1700512400000;DUBLADO;NÃO;ESTADOS UNIDOS;5002851;CINESYSTEM RIO ANIL SHOPPING - SALA 4;75;6000027;17200;17201;SÃO LUÍS;MA;REDECINE SLZ CINEMATOGRÁFICA LTDA;10.670.924/0001-59
