DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
01/04/2022;01/04/2022 04:10:00;THE BAD GUYS;OS CARAS MALVADOS;E2200025500000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;8;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
01/04/2022;01/04/2022 06:10:00;AMBULANCE;AMBULÂNCIA: UM DIA DE CRIME;E2200025700000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;4;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
01/04/2022;01/04/2022 08:50:00;AMBULANCE;AMBULÂNCIA: UM DIA DE CRIME;E2200025700000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;2;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
01/04/2022;01/04/2022 09:00:00;TARSILINHA;;B2000065800000;ORIGINAL;NÃO;BRASIL;5001481;MOVIECOM JARAGUÁ 4;83;6000100;2921;2922;ARARAQUARA;SP;CINEMATOGRÁFICA JARAGUÁ LTDA;04.766.792/0001-60
01/04/2022;01/04/2022 10:00:00;THE BAD GUYS;OS CARAS MALVADOS;E2200025500000;DUBLADO;NÃO;ESTADOS UNIDOS;5006698;CINE CARIOCA NOVA BRASÍLIA;0;;45451;49753;RIO DE JANEIRO;RJ;WELLINGTON CARDOSO DA LUZ CINEMAS LTDA;36.563.373/0001-18
01/04/2022;01/04/2022 12:00:00;AMBULANCE;AMBULÂNCIA: UM DIA DE CRIME;E2200025700000;DUBLADO;NÃO;ESTADOS UNIDOS;5002977;SALA 08;0;6000024;17266;17949;SÃO PAULO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
01/04/2022;01/04/2022 12:00:00;THE BAD GUYS;OS CARAS MALVADOS;E2200025500000;DUBLADO;NÃO;ESTADOS UNIDOS;5004436;MOVIECOM PÁTIO MARABÁ 4;0;6000100;2897;25394;MARABÁ;PA;MOVIE CINEMAS LTDA;04.708.972/0001-96
01/04/2022;01/04/2022 12:00:00;THE BATMAN;BATMAN;E2200036200000;DUBLADO;NÃO;ESTADOS UNIDOS;5006671;SALA NOVO CINE VOTUPORANGA 1;2;;48168;48346;VOTUPORANGA;SP;ARENA CINEMATOGRAFIA LTDA;40.212.580/0001-03
01/04/2022;01/04/2022 12:10:00;BELFAST;BELFAST;E2100524100000;ORIGINAL;SIM;ESTADOS UNIDOS;5001792;SALADEARTE CINEMAM;0;6000052;5722;5694;SALVADOR;BA;CINEMA E ARTE PRODUÇÕES LTDA;03.719.055/0001-44
01/04/2022;01/04/2022 12:10:00;OOOPS! THE ADVENTURE CONTINUES;EPA 2: A AVENTURA CONTINUA;E2200021000000;DUBLADO;NÃO;IRLANDA;5002976;SALA 06;0;6000024;17266;17949;SÃO PAULO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
01/04/2022;01/04/2022 12:15:00;MORBIUS;MORBIUS;E2000066700000;DUBLADO;NÃO;ESTADOS UNIDOS;5002975;SALA 03;5;6000024;17266;17949;SÃO PAULO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
01/04/2022;01/04/2022 12:45:00;MORBIUS;MORBIUS;E2000066700000;DUBLADO;NÃO;ESTADOS UNIDOS;5002970;SALA 05;2;6000024;17266;17949;SÃO PAULO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
01/04/2022;01/04/2022 12:45:00;OOOPS! THE ADVENTURE CONTINUES;EPA 2: A AVENTURA CONTINUA;E2200021000000;DUBLADO;NÃO;IRLANDA;5006338;JARDIM ORIENTE 1 - JUNIOR;1;6000024;17266;43717;SÃO JOSÉ DOS CAMPOS;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
01/04/2022;01/04/2022 12:50:00;LICORICE PIZZA;LICORICE PIZZA;E2100524300000;ORIGINAL;SIM;ESTADOS UNIDOS;5003171;SALADEARTE - CINE VIVO 02;0;6000052;5722;19661;SALVADOR;BA;CINEMA E ARTE PRODUÇÕES LTDA;03.719.055/0001-44
01/04/2022;01/04/2022 12:50:00;THE BAD GUYS;OS CARAS MALVADOS;E2200025500000;DUBLADO;NÃO;ESTADOS UNIDOS;5004245;GUARULHOS 13;2;6000018;1843;24764;GUARULHOS;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
01/04/2022;01/04/2022 13:00:00;ALEMÃO 2;;B2200048000000;ORIGINAL;NÃO;BRASIL;5003763;UCI BRASIL - PARK CG - SALA 06;1;6000058;749;23929;RIO DE JANEIRO;RJ;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.;01.289.530/0001-64
01/04/2022;01/04/2022 13:00:00;AMBULANCE;AMBULÂNCIA: UM DIA DE CRIME;E2200025700000;DUBLADO;NÃO;ESTADOS UNIDOS;5006131;MOVIEMAX IGARASSU 03;4;6000109;16398;41398;IGARASSU;PE;P.M.C. CINEMAS DO BRASIL LTDA;04.488.617/0001-59
01/04/2022;01/04/2022 13:00:00;BELFAST;BELFAST;E2100524100000;ORIGINAL;SIM;ESTADOS UNIDOS;5000780;NEW YORK CITY CENTER - SALA 16;4;6000058;749;2620;RIO DE JANEIRO;RJ;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.;01.289.530/0001-64
01/04/2022;01/04/2022 13:00:00;DRIVE MY CAR;DRIVE MY CAR;E2200082000000;ORIGINAL;SIM;JAPÃO;5001225;RESERVA CULTURAL 3;5;6000092;2336;6665;SÃO PAULO;SP;RESERVA CULTURAL DE CINEMA LTDA.;05.924.151/0001-50
01/04/2022;01/04/2022 13:00:00;ME TIRA DA MIRA;;B2200049700000;DUBLADO;NÃO;BRASIL;5003395;CINÉPOLIS NORTE SUL PLAZA 04;0;6000024;17266;20429;CAMPO GRANDE;MS;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
01/04/2022;01/04/2022 13:00:00;MORBIUS;MORBIUS;E2000066700000;ORIGINAL;SIM;ESTADOS UNIDOS;5002968;BOULEVARD SHOPPING 05;1;6000013;437;17944;BELO HORIZONTE;MG;DELTA FILMES LTDA;01.735.159/0001-17
01/04/2022;01/04/2022 13:00:00;MORBIUS;MORBIUS;E2000066700000;DUBLADO;NÃO;ESTADOS UNIDOS;5004558;CINEART CONTAGEM 4;2;6000013;437;26530;CONTAGEM;MG;DELTA FILMES LTDA;01.735.159/0001-17
01/04/2022;01/04/2022 13:00:00;MORBIUS;MORBIUS;E2000066700000;DUBLADO;NÃO;ESTADOS UNIDOS;5004961;CINEART MONTE CARMO SALA 03;3;6000013;437;28616;BETIM;MG;DELTA FILMES LTDA;01.735.159/0001-17
