DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
22/01/2017;22/01/2017 06:00:00;ASSASSIN'S CREED;ASSASSIN'S CREED;E1600517900000;DUBLADO;NÃO;FRANÇA;5005287;CINE A MARABÁ SALA 01;7;6000008;28464;28466;MARABÁ;PA;CINE A MARABA LTDA;21.160.773/0001-05
22/01/2017;22/01/2017 06:00:00;ASSASSIN'S CREED;ASSASSIN'S CREED;E1600517900000;DUBLADO;NÃO;FRANÇA;5005543;CINE COLOMBO RESENDE SALA 01;8;6000008;15833;33011;RESENDE;RJ;CINE A LTDA;10.894.937/0001-01
22/01/2017;22/01/2017 09:40:00;Mostras e Festivais;;G0000000000004;ORIGINAL;SIM;;5002596;SALADEARTE - CINEMA DA UFBA;22;6000052;5722;15654;SALVADOR;BA;CINEMA E ARTE PRODUÇÕES LTDA;03.719.055/0001-44
22/01/2017;22/01/2017 10:00:00;BALLERINA;A BAILARINA;E1600678400000;DUBLADO;NÃO;FRANÇA;5001079;UCI ORIENT SHOPPING DA BAHIA - SALA 07;17;6000060;2606;6586;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:00:00;OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD;;B1600738500000;ORIGINAL;NÃO;BRASIL;5002680;ORIENT CINE PARALELA - SALA 01;23;6000060;2606;16207;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:10:00;SING;SING - QUEM CANTA SEUS MALES ESPANTA;E1600360800000;DUBLADO;NÃO;ESTADOS UNIDOS;5002552;CINE BOURBON 10;6;6000018;1843;904;CAMPO GRANDE;MS;CINEMARK BRASIL S.A;00.779.721/0001-41
22/01/2017;22/01/2017 10:15:00;ELLE;ELLE;E1600499500000;ORIGINAL;SIM;FRANÇA;5003171;SALADEARTE - CINE VIVO 02;15;6000052;5722;19661;SALVADOR;BA;CINEMA E ARTE PRODUÇÕES LTDA;03.719.055/0001-44
22/01/2017;22/01/2017 10:20:00;BALLERINA;A BAILARINA;E1600678400000;DUBLADO;NÃO;FRANÇA;5004588;UCI ORIENT SHOPPING BARRA SALA 6;15;6000060;2606;26893;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:20:00;LA LA LAND;LA LA LAND – CANTANDO ESTAÇÕES;E1600677400000;DUBLADO;NÃO;ESTADOS UNIDOS;5001080;UCI ORIENT SHOPPING DA BAHIA - SALA 08;6;6000060;2606;6586;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:30:00;MOANA;MOANA - UM MAR DE AVENTURAS;E1600655200000;DUBLADO;NÃO;ESTADOS UNIDOS;5001636;CINE TERESINA 3;46;;2140;6595;TERESINA;PI;CINEMAS TERESINA LTDA;02.142.566/0001-83
22/01/2017;22/01/2017 10:30:00;THE MAN WHO FELL TO EARTH;O HOMEM QUE CAIU NA TERRA;E1600736600000;ORIGINAL;SIM;REINO UNIDO;5005648;CINE TERESINA 5;28;;2140;6595;TERESINA;PI;CINEMAS TERESINA LTDA;02.142.566/0001-83
22/01/2017;22/01/2017 10:40:00;CAPTAIN FANTASTIC;CAPITÃO FANTÁSTICO;E1600496400000;ORIGINAL;SIM;ESTADOS UNIDOS;5004589;UCI ORIENT SHOPPING BARRA SALA 7;3;6000060;2606;26893;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:40:00;SING;SING - QUEM CANTA SEUS MALES ESPANTA;E1600360800000;DUBLADO;NÃO;ESTADOS UNIDOS;5002679;ORIENT CINE PARALELA - SALA 05;66;6000060;2606;16207;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:40:00;SING;SING - QUEM CANTA SEUS MALES ESPANTA;E1600360800000;DUBLADO;NÃO;ESTADOS UNIDOS;5004489;SALA PASSEIO 01;19;6000018;1843;26040;GOIÂNIA;GO;CINEMARK BRASIL S.A;00.779.721/0001-41
22/01/2017;22/01/2017 10:40:00;SING;SING - QUEM CANTA SEUS MALES ESPANTA;E1600360800000;DUBLADO;NÃO;ESTADOS UNIDOS;5004584;UCI ORIENT SHOPPING BARRA SALA 2;8;6000060;2606;26893;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:40:00;SING;SING - QUEM CANTA SEUS MALES ESPANTA;E1600360800000;DUBLADO;NÃO;ESTADOS UNIDOS;5001073;UCI ORIENT SHOPPING DA BAHIA - SALA 01;53;6000060;2606;6586;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:45:00;OS PENETRAS 2 - QUEM DÁ MAIS?;;B1600784700000;ORIGINAL;NÃO;BRASIL;5000593;MARKET PLACE 4;0;6000018;1843;908;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
22/01/2017;22/01/2017 10:50:00;OS PENETRAS 2 - QUEM DÁ MAIS?;;B1600784700000;ORIGINAL;NÃO;BRASIL;5001078;UCI ORIENT SHOPPING DA BAHIA - SALA 06;0;6000060;2606;6586;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 10:50:00;OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD;;B1600738500000;ORIGINAL;NÃO;BRASIL;5004587;UCI ORIENT SHOPPING BARRA SALA 5;13;6000060;2606;26893;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
22/01/2017;22/01/2017 11:00:00;ASSASSIN'S CREED;ASSASSIN'S CREED;E1600517900000;ORIGINAL;SIM;FRANÇA;5002348;CINE CIDADE JARDIM 3;2;6000018;1843;14628;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
22/01/2017;22/01/2017 11:00:00;BALLERINA;A BAILARINA;E1600678400000;DUBLADO;NÃO;FRANÇA;5000680;CINE ARICANDUVA 2;22;6000018;1843;897;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
