DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
29/07/2024;29/07/2024 10:00:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5002893;MOVIECOM FRANCA 01;52;6000100;2914;17420;FRANCA;SP;CINEMATOGRÁFICA PASSOS LTDA;01.688.909/0001-47
29/07/2024;29/07/2024 10:30:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5006728;SALA 01 DO CENTRO CULTURAL UNIMED BH- MINAS;39;;49028;50055;BELO HORIZONTE;MG;MINAS TÊNIS CLUBE;17.217.951/0001-10
29/07/2024;29/07/2024 10:40:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5006729;SALA 02 DO CENTRO CULTURAL UNIMED BH- MINAS;34;;49028;50055;BELO HORIZONTE;MG;MINAS TÊNIS CLUBE;17.217.951/0001-10
29/07/2024;29/07/2024 11:00:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5007173;CINE PORTO 1;40;;58314;58753;PORTO SEGURO;BA;PORTO SEGURO SHOPPING LTDA;08.643.522/0001-13
29/07/2024;29/07/2024 11:00:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5001515;MOVIECOM PRAIA SHOPPING 4;80;6000100;2897;2894;NATAL;RN;MOVIE CINEMAS LTDA;04.708.972/0001-96
29/07/2024;29/07/2024 11:00:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5004393;SALA CINEPOLIS BAURU 04;122;6000024;17266;25196;BAURU;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
29/07/2024;29/07/2024 11:00:00;MY FAIRY TROUBLEMAKER;A FADA DO DENTE;E2300287500000;DUBLADO;NÃO;ALEMANHA;5006420;GRUPOCINE SETE LAGOAS 04;0;6000034;44276;44289;SETE LAGOAS;MG;EMPRESA CINEMATOGRAFICA BOMBOCINE LTDA;21.298.337/0001-05
29/07/2024;29/07/2024 11:00:00;TWISTERS;TWISTERS;E2400159600000;DUBLADO;NÃO;ESTADOS UNIDOS;5006261;CINE XTREME;7;;42562;42563;ITAMARAJU;BA;J L SANTANA CRUZ CINEMA;33.042.782/0001-80
29/07/2024;29/07/2024 11:15:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5003110;CENTERPLEX NORTH SHOPPING CARUARU 01;0;6000006;16321;19291;CARUARU;PE;EMPRESA DE CINEMAS FORTALEZA LTDA;10.785.710/0001-28
29/07/2024;29/07/2024 11:30:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5006988;CINEMARK URUPEMA 01;0;6000018;1843;53932;MOGI DAS CRUZES;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:30:00;FINNICK;OS PELUDOS;E2300107500000;DUBLADO;NÃO;RÚSSIA;5006538;GRUPOCINE AMARGOSA 03;0;6000034;44276;45301;AMARGOSA;BA;EMPRESA CINEMATOGRAFICA BOMBOCINE LTDA;21.298.337/0001-05
29/07/2024;29/07/2024 11:30:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5005378;2120 CINEMARK MOGI DAS CRUZES SALA 07;5;6000018;1843;31561;MOGI DAS CRUZES;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:30:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5006271;CENTERPLEX CARPINA 02;0;6000006;37601;42700;CARPINA;PE;CINE ELI PARAÍBA CINEMAS LTDA;28.492.489/0001-85
29/07/2024;29/07/2024 11:30:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;ORIGINAL;SIM;ESTADOS UNIDOS;5002347;CINE CIDADE JARDIM 4;4;6000018;1843;14628;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:30:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5000307;EXTRA ANCHIETA 2;2;6000018;1843;2537;SÃO BERNARDO DO CAMPO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:30:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5006418;GRUPOCINE SETE LAGOAS 02;0;6000034;44276;44289;SETE LAGOAS;MG;EMPRESA CINEMATOGRAFICA BOMBOCINE LTDA;21.298.337/0001-05
29/07/2024;29/07/2024 11:30:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5001437;MOVIECOM BOAVISTA 5;56;6000100;2914;4846;SÃO PAULO;SP;CINEMATOGRÁFICA PASSOS LTDA;01.688.909/0001-47
29/07/2024;29/07/2024 11:30:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5004499;SALA GOLDEN SQUARE 04;7;6000018;1843;26041;SÃO BERNARDO DO CAMPO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:30:00;TWISTERS;TWISTERS;E2400159600000;DUBLADO;NÃO;ESTADOS UNIDOS;5001884;MOVIECOM CONQUISTA SUL 2;61;6000100;2897;6181;VITÓRIA DA CONQUISTA;BA;MOVIE CINEMAS LTDA;04.708.972/0001-96
29/07/2024;29/07/2024 11:40:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5000476;CENTER 2;7;6000018;1843;2528;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:40:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5003637;VILLAGE MALL 04;0;6000018;1843;22951;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:40:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5003407;PARK SHOPPING 07;6;6000018;1843;20449;SÃO CAETANO DO SUL;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:40:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5000626;PLAZA 5;12;6000018;1843;902;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:45:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5002352;CINE CIDADE JARDIM 5;0;6000018;1843;14628;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5000672;ABC PLAZA 4;8;6000018;1843;896;SANTO ANDRÉ;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5000693;CINE TAMBORÉ 1;0;6000018;1843;900;BARUERI;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5006510;CINEMARK ITABUNA 02;10;6000018;1843;44890;ITABUNA;BA;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5002835;CINEMARK OSASCO 05;23;6000018;1843;16978;OSASCO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5004229;CINEMARK RIOMAR RECIFE 9;23;6000018;1843;24763;RECIFE;PE;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5005437;CINEMARK VARGINHA SALA 03;4;6000018;1843;32049;VARGINHA;MG;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5000711;DOWTOWN 10;5;6000018;1843;899;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5000314;EXTRA ANCHIETA 9;4;6000018;1843;2537;SÃO BERNARDO DO CAMPO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;ORIGINAL;SIM;ESTADOS UNIDOS;5000224;METRÔ SANTA CRUZ 1;18;6000018;1843;2524;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;DUBLADO;NÃO;ESTADOS UNIDOS;5000629;PLAZA 8;8;6000018;1843;902;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DEADPOOL & WOLVERINE;DEADPOOL & WOLVERINE;E2400232500000;ORIGINAL;SIM;ESTADOS UNIDOS;5003635;VILLAGE MALL 02;2;6000018;1843;22951;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5005375;2120 CINEMARK MOGI DAS CRUZES SALA 04;8;6000018;1843;31561;MOGI DAS CRUZES;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5004226;CINEMARK RIOMAR RECIFE 6;10;6000018;1843;24763;RECIFE;PE;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5000644;PRAIAMAR 5;0;6000018;1843;906;SANTOS;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;DESPICABLE ME 4;MEU MALVADO FAVORITO 4;E2400050500000;DUBLADO;NÃO;ESTADOS UNIDOS;5004580;SALA CINEPOLIS IGUATEMI S. J. DO RIO PRETO 6 VIP;50;6000024;17266;26825;SÃO JOSÉ DO RIO PRETO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA;09.652.820/0001-32
29/07/2024;29/07/2024 11:50:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5000680;CINE ARICANDUVA 2;15;6000018;1843;897;SÃO PAULO;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
29/07/2024;29/07/2024 11:50:00;INSIDE OUT 2;DIVERTIDA MENTE 2;E2400179900000;DUBLADO;NÃO;ESTADOS UNIDOS;5005729;CINEMARK BRAGANÇA GARDEN SHOPPING SALA 03;4;6000018;1843;34704;BRAGANÇA PAULISTA;SP;CINEMARK BRASIL S.A;00.779.721/0001-41
