DATA_EXIBICAO;SESSAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;AUDIO;LEGENDADA;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_EXIBIDORA;CNPJ_EXIBIDORA
15/06/2018;15/06/2018 03:15:00;JURASSIC WORLD: FALLEN KINGDOM;JURASSIC WORLD - REINO AMEAÇADO;E1800169900000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;4;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
15/06/2018;15/06/2018 04:40:00;OCEAN'S 8;OITO MULHERES E UM SEGREDO;E1800213600000;DUBLADO;NÃO;ESTADOS UNIDOS;5005785;MOVIEPLEX - SALA 02;4;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
15/06/2018;15/06/2018 06:00:00;JURASSIC WORLD: FALLEN KINGDOM;JURASSIC WORLD - REINO AMEAÇADO;E1800169900000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;11;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
15/06/2018;15/06/2018 06:50:00;JURASSIC WORLD: FALLEN KINGDOM;JURASSIC WORLD - REINO AMEAÇADO;E1800169900000;ORIGINAL;SIM;ESTADOS UNIDOS;5005785;MOVIEPLEX - SALA 02;10;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
15/06/2018;15/06/2018 08:30:00;SHERLOCK GNOMES;SHERLOCK GNOMES E O MISTÉRIO DO JARDIM;E1800076300000;DUBLADO;NÃO;ESTADOS UNIDOS;5004178;SALA ITAPECERICA 04;0;6000034;5642;24435;ITAPECERICA DA SERRA;SP;EMPRESA CINEMATOGRÁFICA ITAPETININGA LTDA;05.762.295/0001-57
15/06/2018;15/06/2018 08:45:00;JURASSIC WORLD: FALLEN KINGDOM;JURASSIC WORLD - REINO AMEAÇADO;E1800169900000;DUBLADO;NÃO;ESTADOS UNIDOS;5005784;MOVIEPLEX - SALA 01;47;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
15/06/2018;15/06/2018 09:00:00;AVENGERS: INFINITY WAR;VINGADORES: GUERRA INFINITA;E1800067100000;DUBLADO;NÃO;ESTADOS UNIDOS;5001486;MOVIECOM MAXI 2;68;6000100;2912;2913;JUNDIAÍ;SP;MAXI CINEMATOGRÁFICA LTDA;05.279.756/0001-35
15/06/2018;15/06/2018 09:20:00;OCEAN'S 8;OITO MULHERES E UM SEGREDO;E1800213600000;DUBLADO;NÃO;ESTADOS UNIDOS;5005785;MOVIEPLEX - SALA 02;2;;36106;36107;TIANGUÁ;CE;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00
15/06/2018;15/06/2018 09:30:00;AVENGERS: INFINITY WAR;VINGADORES: GUERRA INFINITA;E1800067100000;DUBLADO;NÃO;ESTADOS UNIDOS;5001084;UCI ORIENT SHOPPING DA BAHIA - SALA 12;75;6000060;2606;6586;SALVADOR;BA;UCI-ORIENT LTDA;01.562.356/0001-81
15/06/2018;15/06/2018 09:30:00;FERDINAND;O TOURO FERDINANDO;E1700322100000;DUBLADO;NÃO;ESTADOS UNIDOS;5003570;SALA CIDADE JARDIM NORTE 01;52;6000006;2836;22580;SÃO JOSÉ DO RIO PRETO;SP;EMPRESA SAO LUIZ DE CINEMAS LTDA - EM RECUPERACAO JUDICIAL;52.067.071/0001-05
15/06/2018;15/06/2018 09:30:00;WONDER;EXTRAORDINÁRIO;E1700451500000;DUBLADO;NÃO;ESTADOS UNIDOS;5004488;ARAPIRACA BRA 06;66;6000027;22546;26037;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.;15.422.993/0001-67
15/06/2018;15/06/2018 10:00:00;AVENGERS: INFINITY WAR;VINGADORES: GUERRA INFINITA;E1800067100000;DUBLADO;NÃO;ESTADOS UNIDOS;5000978;GNC LINDÓIA 1;104;6000031;3066;3067;PORTO ALEGRE;RS;MOVIE SHOPPING CINEMAS LTDA;00.070.217/0001-78
