ano_exibicao,distribuidora,origem_empresa,publico,publico_br,renda,renda_br,titulos_exibidos,titulos_exibidos_br,titulos_lancados,titulos_lancados_br
2016,Trator Filmes,Distribuição Nacional,114,114,1520.34,1520.34,1,1,1,1
2016,Tremè Produções,Distribuição Nacional,517,517,4836.01,4836.01,1,1,0,0
2016,Tucumán,Distribuição Nacional,4909,3840,51584.67,40144.9,6,2,1,1
2016,Uci,Distribuição Nacional,6845,0,196126.0,0.0,6,0,0,0
2016,Universal,Distribuição Internacional,15925924,0,231652938.48,0.0,33,0,25,0
2016,Universal Music Brasil,Distribuição Nacional,222,0,3675.0,0.0,1,0,0,0
2016,Universal/Europa/Elo Company,Codistribuição Internacional-Nacional,1240,1240,11006.35,11006.35,1,1,0,0
2016,Vilacine,Distribuição Nacional,275,275,2758.0,2758.0,1,1,0,0
2016,Vitrine Filmes,Distribuição Nacional,480876,457896,6893881.11,6576737.97,40,34,15,11
2016,Walper Ruas,Distribuição Nacional,5197,5197,66005.52,66005.52,1,1,1,1
2016,Warner,Distribuição Internacional,36387021,674447,536615467.0,9220289.0,29,2,20,2
2016,Zazen,Distribuição Nacional,2663,2663,42132.53,42132.53,1,1,1,1
2016,Zeta Filmes,Distribuição Nacional,84711,0,1144271.14,0.0,17,0,8,0
2017,4 Ventos Comunicação,Distribuição Nacional,271,271,3288.15,3288.15,1,1,0,0
2017,Accorde Audiovisuais,Distribuição Nacional,93,93,665.0,665.0,1,1,1,1
2017,Águas De Março Filmes,Distribuição Nacional,49,49,265.0,265.0,1,1,0,0
2017,Alex Pires Duarte,Distribuição Nacional,3870,3870,52979.63,52979.63,1,1,1,1
2017,Alpha Filmes,Distribuição Nacional,46,0,271.36,0.0,1,0,0,0
2017,Alpha Filmes/Pandora Filmes,Distribuição Nacional,10568,0,143516.95,0.0,3,0,3,0
2017,Alphaville Filmes,Distribuição Nacional,263375,0,3676727.5,0.0,30,0,20,0
2017,Alphaville Filmes/Alpha Filmes,Distribuição Nacional,9170,0,116646.56,0.0,2,0,2,0
2017,Arthouse,Distribuição Nacional,10697,10697,118233.09,118233.09,4,4,4,4
2017,Bela Filmes,Distribuição Nacional,290,290,1417.5,1417.5,1,1,1,1
2017,Bonfilm,Distribuição Nacional,12652,0,167463.75,0.0,3,0,3,0
2017,Boulevard Filmes,Distribuição Nacional,28,28,247.0,247.0,1,1,0,0
2017,Bretz Filmes,Distribuição Nacional,13210,13126,230267.01,229717.01,3,2,2,2
2017,Bretz Filmes/Pagu Pictures,Distribuição Nacional,41314,41314,685647.29,685647.29,1,1,1,1
2017,Califórnia,Distribuição Nacional,934445,64,15028589.19,604.0,27,1,21,0
2017,Casa De Cinema De Porto Alegre,Distribuição Nacional,2041,2041,25791.53,25791.53,2,2,2,2
2017,Cavideo Produções,Distribuição Nacional,160,160,2386.06,2386.06,1,1,1,1
2017,Cigano Filmes,Distribuição Nacional,158,158,973.5,973.5,1,1,0,0
2017,Cineart Filmes,Distribuição Nacional,180121,0,2715673.23,0.0,11,0,10,0
2017,Cinecolor Do Brasil,Distribuição Nacional,45488,0,757387.84,0.0,3,0,1,0
2017,Cinemark Brasil,Distribuição Nacional,6515,0,135103.49,0.0,2,0,0,0
2017,Cinépolis,Distribuição Nacional,874,0,8381.88,0.0,1,0,1,0
2017,Com Domínio Filmes,Distribuição Nacional,408,408,6105.91,6105.91,1,1,1,1
2017,Complô,Distribuição Nacional,160,160,1650.29,1650.29,1,1,1,1
2017,Contents 360,Distribuição Nacional,114,0,2127.64,0.0,1,0,1,0
2017,Cultura,Distribuição Nacional,784,784,11842.49,11842.49,1,1,1,1
2017,Cv&F,Distribuição Nacional,36,36,270.0,270.0,1,1,0,0
2017,Daza Filmes,Distribuição Nacional,347,347,4070.47,4070.47,1,1,1,1
2017,Deberton Entretenimento,Distribuição Nacional,283,283,1830.0,1830.0,1,1,1,1
2017,Diamond Films,Distribuição Nacional,2059444,40,34057108.84,421.04,19,1,17,0
2017,Dilúvio Filmes,Distribuição Nacional,37,37,210.0,210.0,1,1,0,0
2017,Disney,Distribuição Internacional,33620937,3337,519569006.0,52203.0,17,1,8,1
2017,Documenta Produções,Distribuição Nacional,33,33,132.0,132.0,1,1,1,1
2017,Downtown/Paris,Distribuição Nacional,13184044,13184044,181905761.31,181905761.31,22,22,19,19
2017,E.H. Produções,Distribuição Nacional,55,55,681.0,681.0,1,1,0,0
2017,Ebisu Filmes,Distribuição Nacional,83,83,912.96,912.96,1,1,1,1
2017,Elite Filmes,Distribuição Nacional,1184,0,14296.87,0.0,4,0,2,0
2017,Elo Company,Distribuição Nacional,7069,7069,104310.16,104310.16,7,7,6,6
2017,Esfera Produções,Distribuição Nacional,44151,0,626597.8,0.0,7,0,5,0
2017,Espaço Dos Satyros,Distribuição Nacional,823,823,12251.0,12251.0,1,1,1,1
2017,Espaço Filmes,Distribuição Nacional,45369,0,705740.71,0.0,5,0,5,0
2017,Europa,Distribuição Nacional,103590,13138,1592968.83,198036.09,6,2,6,2
2017,F. J. Cines,Distribuição Nacional,4635,0,43095.0,0.0,9,0,0,0
2017,Fênix Filmes,Distribuição Nacional,72999,0,1118675.31,0.0,11,0,6,0
2017,Film Connection,Distribuição Nacional,42128,42128,586066.45,586066.45,2,2,2,2
2017,Filmes Da Mostra,Distribuição Nacional,2783,0,25938.05,0.0,7,0,2,0
2017,Filmes De Vagabundo,Distribuição Nacional,235,235,2120.0,2120.0,1,1,1,1
2017,Flix Media,Distribuição Nacional,22081,0,490751.18,0.0,2,0,1,0
2017,Fox,Distribuição Internacional,19433963,324996,293282865.54,4447116.0,24,2,17,2
2017,Gávea Filmes E Produções/Pipoca & Filmes,Distribuição Nacional,1638,1638,19889.08,19889.08,1,1,1,1
2017,H2O Films,Distribuição Nacional,811942,657860,11384264.14,9002896.7,9,3,8,3
2017,H2O Films/Sony,Codistribuição Internacional-Nacional,58453,58453,938543.45,938543.45,1,1,1,1
2017,H2O Films/Universal,Codistribuição Internacional-Nacional,401960,401960,5594424.97,5594424.97,1,1,1,1
2017,Imagem,Distribuição Nacional,2176320,809445,32940421.23,11268587.31,26,10,20,8
2017,Imagem-Tempo,Distribuição Nacional,3532,3532,47218.51,47218.51,1,1,1,1
2017,Imovision,Distribuição Nacional,742357,228240,11573060.64,3810696.14,59,5,33,3
2017,Indiana Produções Cinematográficas,Distribuição Nacional,91,91,1469.42,1469.42,1,1,1,1
2017,Inquieta Cinema Cultura E Comunicação,Distribuição Nacional,1062,1062,9401.35,9401.35,2,2,2,2
2017,Inquietude,Distribuição Nacional,2237,2237,23846.7,23846.7,1,1,1,1
2017,Josias Teófilo,Distribuição Nacional,14840,14840,272691.71,272691.71,1,1,1,1
2017,Lança Filmes,Distribuição Nacional,5195,530,70359.91,5265.8,8,6,3,2
2017,Livres Filmes,Distribuição Nacional,3451,3451,41116.83,41116.83,6,6,6,6
2017,Lume Produções Cinematográficas,Distribuição Nacional,6742,6742,68393.95,68393.95,2,2,2,2
2017,Lumolab,Distribuição Nacional,193,193,3370.0,3370.0,1,1,1,1
2017,Marcelo Machado,Distribuição Nacional,810,810,9235.02,9235.02,1,1,1,1
2017,Maria Da Graça Hughes,Distribuição Nacional,1389,1389,17148.0,17148.0,1,1,0,0
2017,Maria Farinha Filmes,Distribuição Nacional,2861,2827,34989.42,34808.92,2,1,1,1
2017,Modo Operante Produções,Distribuição Nacional,522,522,7020.45,7020.45,2,2,2,2
2017,Moro Comunicação,Distribuição Nacional,2180,2180,23575.07,23575.07,1,1,1,1
2017,Mosquito Project,Distribuição Nacional,43,43,1137.5,1137.5,1,1,1,1
2017,O2 Play,Distribuição Nacional,11224,11224,148988.39,148988.39,7,7,5,5
2017,Okna Produções,Distribuição Nacional,496,0,5858.7,0.0,1,0,1,0
2017,Olé Produções,Distribuição Nacional,530,530,8580.1,8580.1,1,1,1,1
2017,Olhar Distribuição,Distribuição Nacional,2813,2813,25442.08,25442.08,2,2,2,2
2017,Osmose Filmes,Distribuição Nacional,390,390,4453.7,4453.7,1,1,1,1
2017,Ouidah Films,Distribuição Nacional,488,488,6554.13,6554.13,1,1,1,1
2017,Panda Filmes,Distribuição Nacional,16408,16408,240713.27,240713.27,1,1,1,1
2017,Pandora Filmes,Distribuição Nacional,131467,3593,1849628.32,44392.81,22,7,15,5
2017,Paramount,Distribuição Internacional,9165202,0,136547949.0,0.0,18,0,12,0
2017,Paris,Distribuição Nacional,15520326,144,223162050.44,2669.32,42,2,30,1
2017,Paris/O2 Play,Distribuição Nacional,6280,6280,77573.34,77573.34,1,1,1,1
2017,Pindorama Filmes,Distribuição Nacional,120,120,2260.15,2260.15,1,1,1,1
2017,Pipa Produções,Distribuição Nacional,76,76,850.8,850.8,1,1,1,1
2017,Pipoca & Filmes/Forte Filmes,Distribuição Nacional,845,845,11623.73,11623.73,1,1,0,0
2017,Pique-Bandeira Filmes,Distribuição Nacional,602,602,3760.03,3760.03,1,1,1,1
2017,Playarte,Distribuição Nacional,472066,0,6717836.38,0.0,6,0,5,0
